what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1286469503247
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1286469503263
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1286469503263
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1286469503263
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1286469503263
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1286469503263
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1286469503263
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1286469503263
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286469505122
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1286469505278
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1286469505341
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1286469505638
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1286469506607
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469508075
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469521700
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286469526122
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1286469526153
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469536028
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469538982
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286469541185
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1286469542403
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1286469542450
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286470181028
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286470346216
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286470350732
