what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346387
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346418
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346840
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346855
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346855
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346855
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346887
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346902
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346902
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346918
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240346918
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240347012
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240347121
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240347121
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240347137
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240347137
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240349402
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240349402
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240350746
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240350824
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240356996
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240358949
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240360777
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286240360934
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1286240361418
