what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1286468915638
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1286468915716
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1286468915872
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1286468915935
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1286468916075
started,bundle,org.eclipse.cdt.make.core,5.0.1.200809120802,org.eclipse.cdt.make.core,1286468916200
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1286468916575
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1286468916716
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286468916778
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286468916778
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286468916888
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1286468921497
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469044997
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286469046513
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1286469046732
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1286469047060
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1286469053841
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469055669
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469075903
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1286469081857
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1286469087528
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469087685
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469190075
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286469190091
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286469191528
