what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303035652
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303055215
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303058777
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303072668
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286303075684
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303085480
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303088152
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286303089996
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286303688512
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286304124246
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286304124246
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286304126684
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286306963637
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286306965559
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286306975184
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286306978746
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286306992074
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286306995168
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286307004621
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286307007309
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286307009277
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286307607668
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286307736027
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286307736027
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286307738652
