what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1286129215968
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1286129215968
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1286129215968
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1286129215968
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1286129215968
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1286129215968
started,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1286129215968
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1286129215968
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1286129217702
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286129221874
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1286129325327
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1286129325577
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1286129326030
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1286129326046
started,bundle,org.eclipse.cdt.make.core,5.0.1.200809120802,org.eclipse.cdt.make.core,1286129326109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286129331421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1286129331437
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1286129331437
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1286129337312
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1286129340796
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1286129340890
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1286129343249
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286129345468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286129413812
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1286129413874
