what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286131395187
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286131413655
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286131428421
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286131430327
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286131494640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132684874
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286132684874
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286132686999
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286132688702
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132691296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132705827
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286132709437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132719718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132722999
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286132724890
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1286132849843
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286132851812
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1286132851921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286132858843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286134711437
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286134717390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286134722609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286134739905
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286134743124
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286134752859
