what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725678308
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725681386
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1288725682230
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1288725979638
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288725983372
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725986638
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726001091
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1288726004513
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726014982
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726018122
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1288726018966
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726541219
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726785362
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288726785362
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1288726787752
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726798221
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726798221
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726798299
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726891019
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288726893300
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726896097
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726910987
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1288726914456
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726924816
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288726927956
