what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1288723858218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724447987
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724626520
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288724626520
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1288724628254
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288724642442
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724644739
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724659317
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1288724662770
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724673489
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724676817
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1288724677692
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724821583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288724921928
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288724921928
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1288724930459
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288725078116
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1288725078351
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1288725092226
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725097976
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725097991
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725098070
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1288725109507
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1288725165320
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1288725170351
